Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.41518622096172E-05,9.40480012225687E-11,0.0375276829935441,0,0,0,1.81527551594541,0.0142680869985669,-3.72785179196853E-13,6.22837132202229E-13,0.0457434585976222,2.83050289879701E-15,0.058003209404555,0,0,0,0,0,0,package://quadrupedurdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/base_link.STL,,Body_Top-1;Body-1;U_Bracket_BIG-3;U_Bracket_BIG-15;U_Bracket_BIG-19;U_Bracket_BIG-16,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
11_Link,0.059828,-0.015291,-0.00025964,0,0,0,0.17848,7.0894E-05,2.4159E-05,-1.4074E-08,0.00017259,7.712E-09,0.0001813,0,0,0,0,0,0,package://quadrupedurdf/meshes/11_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/11_Link.STL,,RDS5160-3;Hip-1;U_Bracket_BIG-2,11,11_31,11_Joint,revolute,0.199749999999999,-0.0900000000000031,0.0329999999999989,-1.5707963267949,0.320242259914463,-1.5707963267949,base_link,0,0,-1,0,0,-0.785,0.785,,,,,,,,
12_Link,0.0757949999999999,-5.28703831223498E-06,-2.77555756156289E-17,0,0,0,0.159582160895809,2.03082215218294E-05,1.60253469010869E-20,3.18000233089746E-08,0.000102280735682494,6.07224109356345E-21,0.000116619476028071,0,0,0,0,0,0,package://quadrupedurdf/meshes/12_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/12_Link.STL,,RDS5160-2;UpperLegSLDPRT-1;UpperLegSLDPRT-2;RDS5160-1,12,12_22,12_Joint,revolute,0.10483,0,0,1.5708,0,1.2506,11_Link,0,0,1,0,0,-1.57,1.57,,,,,,,,
13_Link,0.09282,0.0039094,1.5034E-05,0,0,0,0.10832,2.1898E-05,2.429E-06,8.5302E-08,8.747E-05,-3.5346E-09,8.108E-05,0,0,0,0,0,0,package://quadrupedurdf/meshes/13_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/13_Link.STL,,U_Bracket_BIG-1;LowerLeg-1;LowerLegExtention-1,13,13_23,13_Joint,revolute,0.15159,0,0,0,-0.0014413,-0.072129,12_Link,-0.0014413,0,-1,0,0,-2.356,2.356,,,,,,,,
14_Link,-0.29229,-0.20936,-0.18933,0,0,0,3.6008,0.18838,0.0061666,-4.5547E-05,0.10878,-8.2106E-06,0.15684,0,0,0,0,0,0,package://quadrupedurdf/meshes/14_Link.STL,1,1,1,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/14_Link.STL,,,14,14_24,14_Joint,fixed,0.17345,0,0,0,0,0,13_Link,0,0,0,,,,,,,,,,,,
21_Link,0.059828205868732,0.0152907719754376,-0.000260216952170322,0,0,0,0.178480973634281,7.09037127143782E-05,-2.41724417942258E-05,-1.30124655776256E-08,0.0001725795421579,-7.46717224269452E-09,0.000181296294468812,0,0,0,0,0,0,package://quadrupedurdf/meshes/21_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/21_Link.STL,,RDS5160-14;MirrorHip-5;U_Bracket_BIG-14,21,21_41,21_Joint,revolute,0.19975,0.09,0.033001,1.5708,0.32025,1.5708,base_link,0,0,-1,0,0,-0.785,0.785,,,,,,,,
22_Link,0.0757950000000003,-4.99935693215603E-06,-2.77555756156289E-17,0,0,0,0.159582160895809,2.03082215218293E-05,-2.66631685426408E-20,3.18000233089385E-08,0.000102280735682494,-1.51386958573722E-20,0.000116619476028071,0,0,0,0,0,0,package://quadrupedurdf/meshes/22_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/22_Link.STL,,RDS5160-15;UpperLegSLDPRT-9;UpperLegSLDPRT-10;RDS5160-13,22,12_22,22_Joint,revolute,0.104829938390638,0,0,-1.57080537843517,0,-1.25054501522657,21_Link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
23_Link,0.0928201508133602,-0.00390896841382274,1.50339621219908E-05,0,0,0,0.108324977225404,2.18978047452976E-05,-2.42866726579855E-06,8.5297109168807E-08,8.74699487603449E-05,3.46726493525165E-09,8.10801910272362E-05,0,0,0,0,0,0,package://quadrupedurdf/meshes/23_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/23_Link.STL,,U_Bracket_BIG-13;LowerLeg-5;LowerLegExtention-5,23,13_23,23_Joint,revolute,0.15159,0,0,0,-0.00144132764035148,0.072134737194519,22_Link,0.00144132714130748,0,0.999998961287496,0,0,-2.356,2.356,,,,,,,,
24_Link,-0.292286343634505,0.209363780250409,-0.189328916373556,0,0,0,3.60083016165355,0.188375051482458,-0.00616704407615997,-4.53642209483719E-05,0.108775595222192,9.56617898351358E-06,0.156837691659894,0,0,0,0,0,0,package://quadrupedurdf/meshes/24_Link.STL,1,1,1,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/24_Link.STL,,,24,14_24,24_joint,fixed,0.17345,0,0,0,0,0,23_Link,0,0,0,,,,,,,,,,,,
31_Link,0.0598281242917883,-0.0152909011813284,-0.000259641887755319,0,0,0,0.178480973634279,7.08940335274545E-05,2.41591211589919E-05,-1.40741406194066E-08,0.00017258922160305,7.71203123800007E-09,0.000181296294210585,0,0,0,0,0,0,package://quadrupedurdf/meshes/31_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/31_Link.STL,,RDS5160-17;Hip-6;U_Bracket_BIG-17,31,11_31,31_Joint,revolute,-0.20025,-0.09,0.033,-1.5708,0.32024,-1.5708,base_link,0,0,-1,0,0,-0.785,0.785,,,,,,,,
32_Link,0.0757949999999998,-5.28703831215172E-06,-2.77555756156289E-17,0,0,0,0.15958216089581,2.03082215218294E-05,6.53657483813837E-20,3.18000233089559E-08,0.000102280735682494,-2.70810016292777E-21,0.000116619476028071,0,0,0,0,0,0,package://quadrupedurdf/meshes/32_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/32_Link.STL,,RDS5160-16;UpperLegSLDPRT-11;UpperLegSLDPRT-12;RDS5160-18,32,32_42,32_Joint,revolute,0.104829623675753,0,0,1.5707963267949,0,1.25055406688044,31_Link,0,0,1,0,0,-1.57,1.57,,,,,,,,
33_Link,0.0928201010765243,0.00390943416330725,1.50339782375164E-05,0,0,0,0.108324977225404,2.18978335350726E-05,2.42903826789838E-06,8.53019272511978E-08,8.74699199845184E-05,-3.53456469498987E-09,8.10801910132874E-05,0,0,0,0,0,0,package://quadrupedurdf/meshes/33_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/33_Link.STL,,U_Bracket_BIG-18;LowerLeg-6;LowerLegExtention-6,33,33_43,33_Joint,revolute,0.15159,0,0,0,-0.00144132823905319,-0.0721289885273569,32_Link,-0.00144132774000893,0,-0.999998961286633,0,0,-2.356,2.356,,,,,,,,
34_Link,-0.321114102104846,0.189597831279948,-0.189287365996893,0,0,0,3.60083016165354,0.188375121856343,0.00616658843789637,-4.55474833577918E-05,0.10877552432017,-8.21064194042447E-06,0.156837692188031,0,0,0,0,0,0,package://quadrupedurdf/meshes/34_Link.STL,1,1,1,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/34_Link.STL,,,34,34_44,34_Joint,fixed,0.173451181892774,0,0,0,0,0,33_Link,0,0,0,,,,,,,,,,,,
41_Link,0.059828205868732,0.0152907719754376,-0.0002602169521701,0,0,0,0.17848097363428,7.09037127143782E-05,-2.41724417942259E-05,-1.30124655776458E-08,0.0001725795421579,-7.46717224272368E-09,0.000181296294468812,0,0,0,0,0,0,package://quadrupedurdf/meshes/41_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/41_Link.STL,,RDS5160-20;MirrorHip-6;U_Bracket_BIG-20,41,21_41,41_Joint,revolute,-0.200250000000001,0.090000000000003,0.0330009997119106,1.57079316383598,0.320251311566831,1.57078627943901,base_link,0,0,-0.999999999954527,0,0,-0.785,0.785,,,,,,,,
42_Link,0.0757949999999999,-4.99935693210052E-06,5.55111512312578E-17,0,0,0,0.159582160895809,2.03082215218294E-05,3.28094431126738E-20,3.18000233089139E-08,0.000102280735682494,-7.08454839579104E-21,0.000116619476028071,0,0,0,0,0,0,package://quadrupedurdf/meshes/42_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/42_Link.STL,,RDS5160-21;UpperLegSLDPRT-13;UpperLegSLDPRT-14;RDS5160-19,42,32_42,42_Joint,revolute,0.104829938390638,0,0,-1.57080537843517,0,-1.25054501522657,41_Link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
43_Link,0.0928201508133602,-0.00390896841382277,1.50339621219908E-05,0,0,0,0.108324977225404,2.18978047452975E-05,-2.42866726579855E-06,8.52971091687952E-08,8.7469948760345E-05,3.4672649352932E-09,8.10801910272362E-05,0,0,0,0,0,0,package://quadrupedurdf/meshes/43_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/43_Link.STL,,U_Bracket_BIG-21;LowerLeg-7;LowerLegExtention-7,43,33_43,43_Joint,revolute,0.15159,0,0,0,-0.00144132764035148,0.072134737194519,42_Link,0.00144132714130748,0,0.999998961287496,0,0,-2.356,2.356,,,,,,,,
44_Link,-0.321115191919784,-0.193333127410801,-0.185468720955035,0,0,0,3.60083016165354,0.188375051482458,-0.00616672231059914,7.76304953009919E-05,0.10879509096537,0.000967841782809747,0.156818195916715,0,0,0,0,0,0,package://quadrupedurdf/meshes/44_Link.STL,1,1,1,1,0,0,0,0,0,0,package://quadrupedurdf/meshes/44_Link.STL,,,44,34_44,44_Joint,fixed,0.173451253941265,0,0,0.0199437277438111,0,0,43_Link,0,0,0,,,,,,,,,,,,
